1,6012,251,23478,23227
2,2618,41795,51240,9445
3,1314,11613,20724,9111
4,2891,8666,15907,7241
5,5820,2003,8591,6588
6,3481,13086,18994,5908
7,2886,5383,10890,5507
8,5346,24125,29085,4960
9,1303,2312,7225,4913
10,2330,3834,8685,4851
11,2888,14573,19405,4832
12,1312,11826,16560,4734
13,2311,9092,12977,3885
14,5387,1694,5556,3862
15,2313,14911,18578,3667
16,1504,11823,15029,3206
17,5512,6216,9181,2965
18,2883,7353,10031,2678
19,1710,13923,16441,2518
20,1455,5413,7921,2508
21,1301,1537,4025,2488
22,2384,56643,58964,2321
23,2474,5991,8231,2240
24,1907,7934,10113,2179
25,1605,14265,16439,2174
26,2014,5178,7318,2140
27,2022,5827,7952,2125
28,1326,1595,3710,2115
29,3023,1121,3044,1923
30,2317,8649,10559,1910
