1,2618,1680,5117,3437
2,2890,70,1650,1580
3,1201,32,1358,1326
4,1440,60,810,750
5,2601,91,692,601
6,2303,424,966,542
7,1907,590,940,350
8,9157,23,364,341
9,2607,308,632,324
10,1314,280,600,320
11,3049,1063,1381,318
12,2430,0,305,305
13,1305,34,310,276
14,2883,15,273,258
15,3481,301,549,248
16,1802,100,313,213
17,2614,111,318,207
18,9939,115,321,206
19,2887,282,475,193
20,2390,13,192,179
21,2610,2278,2455,177
22,1301,237,403,166
23,4129,0,160,160
24,2448,297,453,156
25,1416,104,259,155
26,9116,141,296,155
27,1472,0,150,150
28,6153,32,173,141
29,1310,435,574,139
30,3019,2,134,132
