1,1409,13857,8317,5540
2,1312,9294,4171,5123
3,1909,5188,1881,3307
4,2888,5744,3061,2683
5,1314,8333,5992,2341
6,1905,4326,2217,2109
7,2384,10119,8093,2026
8,2504,4101,2134,1967
9,1310,3866,1954,1912
10,1402,3075,1288,1787
11,3049,3037,1344,1693
12,1313,3162,1619,1543
13,2002,2780,1239,1541
14,1902,3816,2368,1448
15,2409,5009,3606,1403
16,2890,2159,934,1225
17,2448,2410,1372,1038
18,1457,2044,1075,969
19,1440,3895,2968,927
20,3481,3895,3031,864
21,9911,1486,663,823
22,5483,1714,903,811
23,1710,3244,2458,786
24,1702,1020,238,782
25,2349,1200,431,769
26,3037,1930,1196,734
27,3702,1210,479,731
28,2323,1887,1165,722
29,2383,1252,543,709
30,2364,1162,458,704
